Team,Player,Role,Batting Hand,Bowling Hand,Bowling Style,Foreign Player,Is Captain
,Sunny Singh,,,,,,
,NJ Rimmington,,,,,,
,AL Menaria,,,,,,
,WD Parnell,,,,,,
,JJ van der Wath,,,,,,
,R Ninan,,,,,,
,MS Wade,,,,,,
,TD Paine,,,,,,
,SB Wagh,,,,,,
,AC Thomas,,,,,,
,JEC Franklin,,,,,,
,DH Yagnik,,,,,,
,S Randiv,,,,,,
,BJ Haddin,,,,,,
,NLTC Perera,,,,,,
,NL McCullum,,,,,,
,JE Taylor,,,,,,
,J Syed Mohammad,,,,,,
,RN ten Doeschate,,,,,,
,TR Birt,,,,,,
,AG Murtaza,,,,,,
,Harpreet Singh,,,,,,
,M Klinger,,,,,,
,AC Blizzard,,,,,,
,I Malhotra,,,,,,
,L Ablish,,,,,,
,CA Ingram,,,,,,
,P Parameswaran,,,,,,
,CJ Ferguson,,,,,,
,AA Chavan,,,,,,
,ND Doshi,,,,,,
,Y Gnaneswara Rao,,,,,,
,S Rana,,,,,,
,BA Bhatt,,,,,,
,RE Levi,,,,,,
,MN Samuels,,,,,,
,KK Cooper,,,,,,
,DAJ Bracewell,,,,,,
,DJ Harris,,,,,,
,GB Hogg,,,,,,
,RR Bhatkal,,,,,,
,CJ McKay,,,,,,
,N Saini,,,,,,
,Azhar Mahmood,,,,,,
,RJ Peterson,,,,,,
,KMDN Kulasekara,,,,,,
,A Ashish Reddy,,,,,,
,V Pratap Singh,,,,,,
,BB Samantray,,,,,,
,MJ Clarke,,,,,,
,AP Majumdar,,,,,,
,PA Reddy,,,,,,
,K Upadhyay,,,,,,
,P Awana,,,,,,
,A Chandila,,,,,,
,Sunny Gupta,,,,,,
,MC Juneja,,,,,,
,GH Vihari,,,,,,
,MDKJ Perera,,,,,,
,R Shukla,,,,,,
,BMAJ Mendis,,,,,,
,R Rampaul,,,,,,
,SMSM Senanayake,,,,,,
,BJ Rohrer,,,,,,
,LJ Wright,,,,,,
,X Thalaivan Sargunam,,,,,,
,KW Richardson,,,,,,
,CM Gautam,,,,,,
,UA Birla,,,,,,
,Parvez Rasool,,,,,,
,NJ Maddinson,,,,,,
,JDS Neesham,,,,,,
,MA Starc,,,,,,
,BR Dunk,,,,,,
,RR Rossouw,,,,,,
,Shivam Sharma,,,,,,
,VH Zol,,,,,,
,Imran Tahir,,,,,,
,BE Hendricks,,,,,,
,M de Lange,,,,,,
,JO Holder,,,,,,
,Karanveer Singh,,,,,,
,SA Abbott,,,,,,
,D Wiese,,,,,,
,DJ Muthuswami,,,,,,
,RG More,,,,,,
,C Munro,,,,,,
,KJ Abbott,,,,,,
,SW Billings,,,,,,
,PSP Handscomb,,,,,,
,F Behardien,,,,,,
,A Nel,,,,,,
,C Ganapathy,,,,,,
,TP Sudhindra,,,,,,
,BW Hilfenhaus,,,,,,
,P Amarnath,,,,,,
,B Geeves,,,,,,
,Gagandeep Singh,,,,,,
,AM Salvi,,,,,,
,RR Bose,,,,,,
,SS Sarkar,,,,,,
,RA Shaikh,,,,,,
,MB Parmar,,,,,,
,AA Kazi,,,,,,
,Anand Rajan,,,,,,
,P Prasanth,,,,,,
,SS Mundhe,,,,,,
,RW Price,,,,,,
,P Suyal,,,,,,
,MG Neser,,,,,,
,K Santokie,,,,,,
,JW Hastings,,,,,,
,GS Sandhu,,,,,,
,SM Boland,,,,,,
