"team","player","role","batting_hand","bowling_hand","bowling_style","foreign_player","is_captain","value","uncapped_player","bowling_points_fandromeda","batting_points_fandromeda","overall_points_fandromeda","innings","avg_bowling_points_overall","avg_batting_points_overall","avg_points_overall","avg_bowling_points_overall_fandromeda","avg_batting_points_overall_fandromeda","avg_points_overall_fandromeda","vfm_index","bowling_speed"
"Sunrisers Hyderabad","DJ Hooda","All-rounder","Right-handed","Right-arm","Off Spin",0,0,75,1,41,117,158,6,15,19.3333333333333,26.8333333333333,13.6666666666667,19.5,26.3333333333333,0.357777777777778,"Spin"
"Sunrisers Hyderabad","Rashid Khan","Bowler","Right-handed","Right-arm","Leg Spin",1,0,75,0,621,13,634,10,51.9,5,52.9,62.1,6.5,63.4,0.705333333333333,"Spin"
"Delhi Daredevils","S Nadeem","Bowler","Left-handed","Left-arm","Orthodox Spin",0,0,80,1,240.5,-13,227.5,4,45,-5,42.5,60.125,-6.5,56.875,0.53125,"Spin"
"Delhi Daredevils","J Yadav","Bowler","Right-handed","Right-arm","Off Spin",0,0,80,0,37,0,37,2,16.5,0,16.5,18.5,0,18.5,0.20625,"Spin"
"Delhi Daredevils","SW Billings","Wicketkeeper batsman","Right-handed","0","0",1,0,80,0,0,209,209,6,0,31.6666666666667,31.6666666666667,0,34.8333333333333,34.8333333333333,0.395833333333333,"Medium"
"Delhi Daredevils","RR Pant","Wicketkeeper batsman","Left-handed","0","0",0,0,80,0,0,307,307,9,0,32.8888888888889,32.8888888888889,0,34.1111111111111,34.1111111111111,0.411111111111111,"Medium"
"Gujarat Lions","DS Kulkarni","Bowler","Right-handed","Right-arm","Medium Fast",0,0,80,0,14.5,0,14.5,4,5,1,5.25,3.625,0,3.625,0.065625,"Fast"
"Gujarat Lions","MS Gony","Bowler","Right-handed","Right-arm","Medium Fast",0,0,80,1,-10,0,-10,1,-11,0,-11,-10,0,-10,-0.1375,"Fast"
"Gujarat Lions","NB Singh","Bowler","Right-handed","Right-arm","Medium Fast",0,0,80,1,74,0,74,2,31,0,31,37,0,37,0.3875,"Fast"
"Kings XI Punjab","Sandeep Sharma","Bowler","Right-handed","Right-arm","Medium Pace",0,0,80,0,385,8,393,8,46.5,3.5,47.375,48.125,4,49.125,0.5921875,"Medium"
"Kings XI Punjab","MM Sharma","Bowler","Right-handed","Right-arm","Medium Fast",0,0,80,0,230.5,49,279.5,9,24.5555555555556,10.2,30.2222222222222,25.6111111111111,9.8,31.0555555555556,0.377777777777778,"Fast"
"Kolkata Knight Riders","SA Yadav","Batsman","Right-handed","Right-arm","Medium Pace",0,0,80,1,0,100,100,6,0,15.5,15.5,0,16.6666666666667,16.6666666666667,0.19375,"Medium"
"Rising Pune Supergiant","R Bhatia","All-rounder","Right-handed","Right-arm","Medium Pace",0,0,80,1,73,17,90,3,22.3333333333333,8,25,24.3333333333333,17,30,0.3125,"Medium"
"Rising Pune Supergiant","MA Agarwal","Batsman","Right-handed","0","0",0,0,80,1,0,23,23,3,0,8.66666666666667,8.66666666666667,0,7.66666666666667,7.66666666666667,0.108333333333333,"Medium"
"Rising Pune Supergiant","DT Christian","All-rounder","Right-handed","Right-arm","Medium Fast",1,0,80,0,280,108,388,8,30.375,20.5,45.75,35,18,48.5,0.571875,"Fast"
"Royal Challengers Bangalore","AF Milne","Bowler","Right-handed","Right-arm","Fast",1,0,80,0,89,2,91,4,20.5,2.33333333333333,22.25,22.25,0.666666666666667,22.75,0.278125,"Fast"
"Royal Challengers Bangalore","KM Jadhav","Batsman","Right-handed","Right-arm","Off Spin",0,0,80,0,0,397,422,10,0,35.9,38.4,0,39.7,42.2,0.48,"Spin"
"Royal Challengers Bangalore","S Badree","Bowler","Right-handed","Right-arm","Leg Spin",1,0,80,0,357,-14,343,5,65.2,-1.25,64.2,71.4,-3.5,68.6,0.8025,"Spin"
"Royal Challengers Bangalore","TM Head","Batsman","Left-handed","Right-arm","Off Spin",1,0,80,0,-4.5,102,97.5,5,-6.33333333333333,19.2,15.4,-1.5,20.4,19.5,0.1925,"Spin"
"Royal Challengers Bangalore","P Negi","All-rounder","Left-handed","Left-arm","Orthodox Spin",0,0,80,0,556,158,714,9,51.4444444444444,24.8571428571429,70.7777777777778,61.7777777777778,22.5714285714286,79.3333333333333,0.884722222222222,"Spin"
"Sunrisers Hyderabad","BB Sran","Bowler","Left-handed","Left-arm","Medium Fast",0,0,80,0,-7,0,-7,1,-11,0,-11,-7,0,-7,-0.1375,"Fast"
"Delhi Daredevils","SS Iyer","Batsman","Right-handed","Right-arm","Off Spin",0,0,85,1,0,301,301,7,0,40.7142857142857,40.7142857142857,0,43,43,0.478991596638655,"Spin"
"Delhi Daredevils","SV Samson","Wicketkeeper batsman","Right-handed","0","0",0,0,85,0,0,527,552,9,0,51.8888888888889,54.6666666666667,0,58.5555555555556,61.3333333333333,0.643137254901961,"Medium"
"Delhi Daredevils","CR Brathwaite","All-rounder","Right-handed","Right-arm","Medium Pace",1,0,85,0,-10,-3,-13,1,-14,1,-13,-10,-3,-13,-0.152941176470588,"Medium"
"Delhi Daredevils","KK Nair","Batsman","Right-handed","Right-arm","Off Spin",0,0,85,0,0,166,166,8,0,18.875,18.875,0,20.75,20.75,0.222058823529412,"Spin"
"Gujarat Lions","P Kumar","Bowler","Right-handed","Right-arm","Medium Pace",0,0,85,0,93.5,7,100.5,5,20.6,7,22,18.7,7,20.1,0.258823529411765,"Medium"
"Kings XI Punjab","M Vohra","Batsman","Right-handed","Right-arm","Medium Pace",0,0,85,1,0,317,317,7,0,40,40,0,45.2857142857143,45.2857142857143,0.470588235294118,"Medium"
"Kings XI Punjab","AR Patel","All-rounder","Left-handed","Left-arm","Orthodox Spin",0,0,85,0,409,201,635,9,40.7777777777778,25.875,66.5555555555556,45.4444444444444,25.125,70.5555555555556,0.783006535947712,"Spin"
"Kings XI Punjab","WP Saha","Wicketkeeper batsman","Right-handed","0","0",0,0,85,0,0,93,93,7,0,13.5714285714286,13.5714285714286,0,13.2857142857143,13.2857142857143,0.159663865546218,"Medium"
"Kings XI Punjab","VR Aaron","Bowler","Right-handed","Right-arm","Fast",0,0,85,0,252,3,255,4,55.25,4,56.25,63,3,63.75,0.661764705882353,"Fast"
"Kolkata Knight Riders","MK Pandey","Batsman","Right-handed","Right-arm","Off Spin",0,0,85,0,0,547,547,9,0,54.4444444444444,54.4444444444444,0,60.7777777777778,60.7777777777778,0.640522875816993,"Spin"
"Kolkata Knight Riders","PP Chawla","Bowler","Right-handed","Right-arm","Leg Spin",0,0,85,0,73,0,73,3,25.3333333333333,0,25.3333333333333,24.3333333333333,0,24.3333333333333,0.298039215686275,"Spin"
"Kolkata Knight Riders","CA Lynn","Batsman","Right-handed","Left-arm","Orthodox Spin",1,0,85,0,0,247,272,2,0,101.5,114,0,123.5,136,1.34117647058824,"Spin"
"Kolkata Knight Riders","TA Boult","Bowler","Right-handed","Left-arm","Medium Fast",1,0,85,0,61.5,0,61.5,4,18,0,18,15.375,0,15.375,0.211764705882353,"Fast"
"Kolkata Knight Riders","NM Coulter-Nile","Bowler","Right-handed","Right-arm","Fast",1,0,85,0,361,10,396,6,58.8333333333333,5,64.6666666666667,60.1666666666667,5,66,0.76078431372549,"Fast"
"Mumbai Indians","AT Rayudu","Wicketkeeper batsman","Right-handed","Right-arm","Off Spin",0,0,85,0,0,8,8,1,0,0,0,0,8,8,0,"Spin"
